Year,INF,ECNDEV,K,L,EDU,HEA,CAP,UNEMP,INF*EMP,lnINF,lnECNDEV,lnK,lnL,lnEDU,lnHEA,lnCAP,lnUNEMP,lnINF*UNEMP,Lncap,Lcap
1994,57.03,0.48,744.09,4.02,45.75,7.1,744.09,4.02,229.2606,4.043577445,-0.733969175,6.612165094,1.391281903,3.823191792,1.960094784,6.612165094,1.391281903,5.434859348,6.612165094,2.871626814
1995,72.84,0.482,1153.47,3.76,45.87,7.2,1153.47,3.76,273.8784,4.288265255,-0.729811165,7.050531267,1.324418957,3.825811309,1.974081026,7.050531267,1.324418957,5.612684212,7.050531267,3.062006824
1996,29.3,0.483,1494.75,4.03,45.83,7.3,1494.75,4.03,118.079,3.377587516,-0.727738625,7.309714845,1.393766376,3.824938899,1.987874348,7.309714845,1.393766376,4.771353892,7.309714845,3.174568821
1997,10.7,0.484,1697.77,3.9,45.96,7.4,1697.77,3.9,41.73,2.370243741,-0.725670372,7.43706962,1.360976553,3.827771453,2.00148,7.43706962,1.360976553,3.731220295,7.43706962,3.229878298
1998,7.9,0.486,1948.65,3.95,46.15,7.5,1948.65,3.95,31.205,2.066862759,-0.721546655,7.574894348,1.373715579,3.831896961,2.014903021,7.574894348,1.373715579,3.440578338,7.574894348,3.289734816
1999,6.6,0.486,2098.54,4,46.61,7.6,2098.54,4,26.4,1.887069649,-0.721546655,7.648995067,1.386294361,3.84181511,2.028148247,7.648995067,1.386294361,3.27336401,7.648995067,3.32191635
2000,6.93,0.488,2404.82,3.96,47.14,8,2404.82,3.96,27.4428,1.935859813,-0.717439873,7.785228771,1.376244025,3.853121898,2.079441542,7.785228771,1.376244025,3.312103838,7.785228771,3.381081896
2001,18.88,0.49,2473.47,3.91,47.55,7.7,2473.47,3.91,73.8208,2.938103161,-0.713349888,7.813378334,1.363537374,3.861781789,2.041220329,7.813378334,1.363537374,4.301640535,7.813378334,3.393307095
2002,12.88,0.494,3078.78,3.68,48.02,8.1,3078.78,3.68,47.3984,2.555675721,-0.705219762,8.032289896,1.302912752,3.871617591,2.091864062,8.032289896,1.302912752,3.858588473,8.032289896,3.488379179
2003,14.03,0.449,3846.23,3.65,48.62,8.5,3846.23,3.65,51.2095,2.641197894,-0.800732391,8.254849996,1.294727168,3.884034969,2.140066163,8.254849996,1.294727168,3.935925062,8.254849996,3.585035802
2004,14.998,0.461,4723.72,3.6,49.15,9,4723.72,3.6,53.9928,2.707916859,-0.774357236,8.460351877,1.280933845,3.894876847,2.197224577,8.460351877,1.280933845,3.988850704,8.460351877,3.674284135
2005,17.86,0.468,5772.64,3.73,49.54,9,5772.64,3.73,66.6178,2.882563575,-0.759286983,8.660884307,1.316408234,3.902780424,2.197224577,8.660884307,1.316408234,4.198971809,8.660884307,3.761374263
2006,8.24,0.475,7948.12,3.76,49.88,9.1,7948.12,3.76,30.9824,2.109000344,-0.744440475,8.980690841,1.324418957,3.909620121,2.208274414,8.980690841,1.324418957,3.433419301,8.980690841,3.900264476
2007,5.38,0.479,6997.62,3.8,50.38,9.2,6997.62,3.8,20.444,1.682688374,-0.736054682,8.853325114,1.335001067,3.919594271,2.219203484,8.853325114,1.335001067,3.017689441,8.853325114,3.844950243
2008,11.58,0.482,7535.27,3.8,50.75,9.3,7535.27,3.8,44.004,2.449279472,-0.729811165,8.927350123,1.335001067,3.926911618,2.2300144,8.927350123,1.335001067,3.784280539,8.927350123,3.877098896
2009,11.54,0.486,9177.08,3.77,51.08,9.5,9177.08,3.77,43.5058,2.445819261,-0.721546655,9.124464848,1.327075001,3.933393031,2.251291799,9.124464848,1.327075001,3.772894263,9.124464848,3.962704734
2010,13.72,0.488,9183.06,3.75,51.32,8.4,9183.06,3.75,51.45,2.618854622,-0.717439873,9.125115701,1.32175584,3.93808054,2.128231706,9.125115701,1.32175584,3.940610462,9.125115701,3.962987396
2011,10.84,0.494,9897.2,3.77,51.49,8.7,9897.2,3.77,40.8668,2.383242996,-0.705219762,9.200006883,1.327075001,3.941387614,2.163323026,9.200006883,1.327075001,3.710317997,9.200006883,3.995512223
2012,12.22,0.499,10281.95,3.76,51.69,9.8,10281.95,3.76,45.9472,2.503073954,-0.695149183,9.23814538,1.324418957,3.945264339,2.282382386,9.23814538,1.324418957,3.827492911,9.23814538,4.012075562
2013,8.48,0.504,11478.08,3.71,51.83,10,11478.08,3.71,31.4608,2.13771045,-0.685179011,9.348194417,1.311031877,3.947969132,2.302585093,9.348194417,1.311031877,3.448742326,9.348194417,4.059869251
2014,8.06,0.513,13593.78,3.9,51.94,10,13593.78,3.9,31.434,2.086913557,-0.667479434,9.517367598,1.360976553,3.950089206,2.302585093,9.517367598,1.360976553,3.44789011,9.517367598,4.13334023
2015,9.01,0.52,14112.17,4.14,51.94,10,14112.17,4.14,37.3014,2.198335072,-0.653926467,9.554792813,1.420695788,3.950089206,2.302585093,9.554792813,1.420695788,3.619030859,9.554792813,4.149593795
2016,15.68,0.526,15104.18,4.5,52.19,10,15104.18,4.5,70.56,2.752386015,-0.642454066,9.622727095,1.504077397,3.954890906,2.302585093,9.622727095,1.504077397,4.256463412,9.622727095,4.179097278
2017,15.52,0.528,16908.13,4.83,52.4,10,16908.13,4.83,74.9616,2.742129515,-0.638658995,9.735550036,1.574846468,3.958906591,2.302585093,9.735550036,1.574846468,4.316975982,9.735550036,4.228095659
2018,12.09,0.53,24550.24,5.07,52.67,10,24550.24,5.07,61.2963,2.492378665,-0.634878272,10.10847704,1.623340818,3.964046033,2.302585093,10.10847704,1.623340818,4.115719482,10.10847704,4.390055798
2019,11.4,0.537,35863.98,5.21,53.01,10,35863.98,5.21,59.394,2.433613355,-0.621757185,10.48748871,1.650579856,3.970480575,2.302585093,10.48748871,1.650579856,4.084193211,10.48748871,4.554658475
2020,13.25,0.539,41253.55,5.74,53.07,10,41253.55,5.74,76.055,2.583997552,-0.618039708,10.62749241,1.74745921,3.971611797,2.302585093,10.62749241,1.74745921,4.331456763,10.62749241,4.61546131
2021,16.95,0.542,58293.95,5.45,53.46,10,58293.95,5.45,92.3775,2.830267834,-0.612489278,10.97325358,1.695615609,3.978933711,2.302585093,10.97325358,1.695615609,4.525883443,10.97325358,4.765623476
2022,21.34,0.548,65227.13,3.82,54.08,10,65227.13,3.82,81.5188,3.060583246,-0.601479992,11.08563082,1.340250423,3.990464432,2.302585093,11.08563082,1.340250423,4.400833668,11.08563082,4.814428292
2023,24.66,0.56,82889.22,3.07,54.46,10,82889.22,3.07,75.7062,3.205182498,-0.579818495,11.32526035,1.121677562,3.997466487,2.302585093,11.32526035,1.121677562,4.326860059,11.32526035,4.918498075
